Year,Zip Code,County,Total Beneficiaries,Dual Eligible Beneficiaries,Non Dual Beneficiaries,Child Beneficiaries,Adult Beneficiaries,Dual Beneficiaries Admitted,Total Dual Admissions,Non Dual Beneficiaries Admitted,Total Non Dual Admissions,Total Beneficiaries Admitted,Total Admissions,Dual Beneficiaries ER ,Dual Beneficiaries ER Visits,Non Dual Beneficiaries ER,Non Dual Beneficiaries ER Visits,Total Beneficiaries ER,Total ER Visits
2012,10709,Westchester,580,164,416,144,436,17,24,46,60,63,84,16,27,83,129,99,156
2012,10710,Westchester,3533,723,2810,976,2557,118,160,261,376,379,536,99,170,658,1186,757,1356
2012,10801,Westchester,11547,1939,9608,4439,7108,365,533,1051,1345,1416,1878,355,669,2687,4984,3042,5653
2012,10802,Westchester,202,112,90,31,171,31,39,10,14,41,53,15,30,18,26,33,56
2012,10803,Westchester,739,137,602,226,513,23,35,44,55,67,90,14,18,142,245,156,263
2012,10804,Westchester,522,201,321,101,421,15,17,22,32,37,49,15,18,62,88,77,106
2012,10805,Westchester,3772,1047,2725,1142,2630,211,293,290,418,501,711,153,247,649,1142,802,1389
2012,11592,Nassau,9,2,7,5,4,0,0,0,0,0,0,0,0,0,0,0,0
2012,10901,Rockland,2671,708,1963,882,1789,91,124,204,320,295,444,130,306,428,808,558,1114
2012,10910,Orange,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2012,10912,Orange,14,3,11,3,11,0,0,2,3,2,3,0,0,4,4,4,4
2012,10913,Rockland,429,171,258,78,351,22,30,24,37,46,67,21,29,76,133,97,162
2012,10914,Orange,50,10,40,15,35,1,2,1,1,2,3,1,1,9,15,10,16
2012,10915,Orange,80,16,64,23,57,1,1,11,11,12,12,2,8,15,21,17,29
2012,10916,Orange,489,160,329,113,376,38,53,29,49,67,102,44,130,82,160,126,290
2012,10917,Orange,216,14,202,115,101,1,1,31,32,32,33,1,1,29,41,30,42
2012,10918,Orange,1032,154,878,357,675,23,33,81,105,104,138,27,53,180,340,207,393
2012,10919,Orange,123,25,98,35,88,7,10,11,16,18,26,4,4,23,43,27,47
2012,10920,Rockland,943,207,736,276,667,34,49,93,153,127,202,40,73,190,349,230,422
2012,10921,Orange,385,64,321,149,236,6,10,27,51,33,61,13,28,94,143,107,171
2012,10922,Orange,101,8,93,32,69,1,2,12,18,13,20,3,4,16,32,19,36
2012,10923,Rockland,1882,261,1621,658,1224,40,59,203,273,243,332,58,134,391,676,449,810
2012,10924,Orange,1723,710,1013,388,1335,149,187,130,199,279,386,136,333,268,542,404,875
2012,10925,Orange,670,97,573,206,464,12,14,77,122,89,136,21,43,165,354,186,397
