Discharge Year,Software Version,Patient Zipcode,Observed Rate Per 100 People,Expected Rate Per 100 People,Risk Adjusted Rate Per 100 People,Difference in Rates
2015,1.32,10598,14.81,19.73,18.73,-4.92
2015,1.32,10601,4.74,25.60,4.62,-20.87
2015,1.32,10603,6.48,27.57,5.86,-21.09
2015,1.32,10604,3.18,22.74,3.48,-19.57
2015,1.32,10605,2.44,22.45,2.72,-20.01
2015,1.32,10606,3.69,25.65,3.59,-21.96
2015,1.32,10607,7.77,27.50,7.05,-19.73
2015,1.32,10701,44.63,29.92,37.22,14.70
2015,1.32,10703,32.45,27.30,29.66,5.15
2015,1.32,10704,13.40,23.39,14.29,-10.00
2015,1.32,10705,36.20,27.97,32.30,8.23
2015,1.32,10706,14.15,21.74,16.24,-7.59
2015,1.32,10708,3.29,21.96,3.73,-18.67
2015,1.32,10709,3.72,20.34,4.57,-16.61
2015,1.32,10710,10.86,23.44,11.56,-12.58
2015,1.32,10801,27.70,28.84,23.97,-1.14
2015,1.32,10803,7.48,22.32,8.37,-14.83
2015,1.32,10804,5.13,21.06,6.07,-15.93
2015,1.32,10805,17.82,26.83,16.58,-9.01
2015,1.32,10901,16.45,21.31,19.27,-4.85
2015,1.32,10913,11.89,21.33,13.91,-9.44
2015,1.32,10916,15.47,21.35,18.07,-5.89
2015,1.32,10917,17.65,21.02,20.95,-3.37
2015,1.32,10918,15.01,23.47,15.96,-8.46
2015,1.32,10919,21.30,23.74,22.39,-2.44
2015,1.32,10920,17.91,20.15,22.17,-2.25
2015,1.32,10921,19.01,21.55,22.02,-2.54
2015,1.32,10923,25.30,26.11,24.18,-0.81
2015,1.32,10924,17.39,23.03,18.84,-5.64
2015,1.32,10925,21.91,21.12,25.89,0.79
2015,1.32,10926,16.63,22.42,18.51,-5.79
2015,1.32,10927,32.21,27.56,29.17,4.66
2015,1.32,10928,22.07,26.12,21.08,-4.06
2015,1.32,10930,12.87,22.25,14.44,-9.38
2015,1.32,10931,17.65,44.35,9.93,-26.70
2015,1.32,10940,32.23,28.05,28.67,4.18
2015,1.32,10941,20.48,26.90,18.99,-6.42
2015,1.32,10950,8.77,20.12,10.88,-11.35
2015,1.32,10952,11.03,19.88,13.84,-8.85
2015,1.32,10954,17.34,22.13,19.56,-4.78
2015,1.32,10956,13.31,20.72,16.03,-7.41
2015,1.32,10958,19.71,21.31,23.08,-1.60
2015,1.32,10960,21.75,25.65,21.16,-3.90
2015,1.32,10962,12.16,20.87,14.53,-8.71
2015,1.32,10963,12.37,27.57,11.19,-15.20
2015,1.32,10964,12.17,17.32,17.53,-5.15
2015,1.32,10965,11.06,19.72,13.99,-8.66
2015,1.32,10968,11.90,20.38,14.57,-8.48
2015,1.32,10969,16.00,20.22,19.75,-4.22
